"Date","DailyMoveCat","CloseDiffCat","ONDiffCat","SpreadCat"
2014-05-01,"Up","Up","No Move","Down"
2014-04-30,"Down","Down","No Move","Down"
2014-04-29,"Down","Down","Down","Down"
2014-04-28,"Down","Down","Down","Up"
2014-04-25,"Up","Up","Down","No Move"
2014-04-24,"No Move","No Move","Down","Down"
2014-04-23,"No Move","No Move","No Move","Down"
2014-04-22,"Down","Down","No Move","Down"
2014-04-21,"Down","Down","No Move","Down"
2014-04-17,"Up","Up","No Move","Down"
2014-04-16,"Down","Down","Down","No Move"
2014-04-15,"Down","Down","No Move","Up"
2014-04-14,"Down","Down","Down","Down"
2014-04-11,"Up","Up","Up","Down"
2014-04-10,"Up Large","Up Large","No Move","Up"
2014-04-09,"Down","Down","No Move","Up"
2014-04-08,"No Move","No Move","No Move","Down"
2014-04-07,"Up","Up","Down","No Move"
2014-04-04,"Up","Up","Down","Up"
2014-04-03,"No Move","No Move","No Move","Down"
2014-04-02,"Down","Down","No Move","Down"
2014-04-01,"Down","Down","No Move","Down"
2014-03-31,"Down","Down","Down","Down"
2014-03-28,"Down","Down","Down","Down"
2014-03-27,"No Move","No Move","No Move","Down"
2014-03-26,"Up","Up","Down","Up"
2014-03-25,"Down","Down","Down","Down"
2014-03-24,"Up","Up","No Move","No Move"
2014-03-21,"Up","Up","Down","No Move"
2014-03-20,"Down","Down","No Move","Up"
2014-03-19,"Up","Up","No Move","Up"
2014-03-18,"Down","Down","Up","Down"
2014-03-17,"Down","Down","No Move","Up"
2014-03-14,"Up","Up","Up","Down"
2014-03-13,"Up Large","Up Large","Down","Up"
2014-03-12,"No Move","No Move","No Move","Down"
2014-03-11,"Up","Up","No Move","Down"
2014-03-10,"Up","Up","No Move","Down"
2014-03-07,"Down","Down","Down","Down"
2014-03-06,"Down","Down","No Move","Down"
2014-03-05,"Up","Up","No Move","Down"
2014-03-04,"Down Large","Down Large","Down","Up"
2014-03-03,"Up","Up","No Move","Up"
2014-02-28,"Down","Down","No Move","No Move"
2014-02-27,"Down","Down","No Move","Down"
2014-02-26,"Down","Down","No Move","Down"
2014-02-25,"Up","Up","No Move","Down"
2014-02-24,"Down","Down","Up","Up"
2014-02-21,"Up","Up","Down","Down"
2014-02-20,"Down","Down","Down","Down"
2014-02-19,"Up","Up","Up","Up"
2014-02-18,"Up","Up","No Move","Down"
2014-02-14,"Down","Down","Up","Up"
2014-02-13,"Down","Down","Up Large","No Move"
2014-02-12,"Up","Up","Up","Down"
2014-02-11,"Down","Down","Down","Up"
2014-02-10,"No Move","No Move","No Move","Down"
2014-02-07,"Down","Down","Down","No Move"
2014-02-06,"Down","Down","Down","Up"
